"date","avg_sentiment","exchange_rate"
"2025-02-28T05:00:00.000Z",0,92700
"2025-03-01T05:00:00.000Z",0,92600
"2025-03-02T05:00:00.000Z",0,91350
"2025-03-03T05:00:00.000Z",0,91050
"2025-03-04T05:00:00.000Z",-1,89000
"2025-03-05T05:00:00.000Z",0,89600
"2025-03-06T05:00:00.000Z",-0.5,90250
"2025-03-07T05:00:00.000Z",-1,91850
"2025-03-08T05:00:00.000Z",-1,92700
"2025-03-09T05:00:00.000Z",-0.75,93030
"2025-03-10T04:00:00.000Z",0,93150
"2025-03-11T04:00:00.000Z",0,93250
"2025-03-12T04:00:00.000Z",-0.666667,92850
"2025-03-13T04:00:00.000Z",0.5,92580
"2025-03-14T04:00:00.000Z",-0.75,91900
"2025-03-15T04:00:00.000Z",-0.25,94000
"2025-03-16T04:00:00.000Z",-0.428571,95350
"2025-03-17T04:00:00.000Z",-0.909091,98600
"2025-03-18T04:00:00.000Z",-0.428571,98450
"2025-03-19T04:00:00.000Z",-0.4,98300
